seed,source,redshift,log_a,p,s,populated_bins,weighted_log_residual,peak_height_max_relative_error,collapse_threshold
1,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed002281/pinocchio.0.2867.000.mf.out,0.286745,-0.16491730866501467,0.8636694395645186,0.29746073477959833,49,0.024539014008937963,0.0007392546934261723,1.686
1,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed002281/pinocchio.0.2484.000.mf.out,0.248384,-0.15917952836487345,0.8812934232707103,0.2935977417945524,49,0.024836208121323172,0.0006413592906628907,1.686
1,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed002281/pinocchio.0.2108.000.mf.out,0.210832,-0.15723154363050326,0.8907017004764097,0.2909771616966438,50,0.0253415801689377,0.0005579845888039614,1.686
1,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed002281/pinocchio.0.1740.000.mf.out,0.174043,-0.15549354551658942,0.8995713746324001,0.2886354291372045,50,0.025693106039364998,0.0004712627161267413,1.686
1,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed002281/pinocchio.0.1380.000.mf.out,0.137969,-0.15286048273680028,0.9094769970303289,0.28657636624928523,51,0.026294138789497004,0.0003813239164203175,1.686
1,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed002281/pinocchio.0.1026.000.mf.out,0.102568,-0.15037825553959452,0.9158790639913139,0.285602949430174,52,0.02702128229176728,0.0002963789959729013,1.686
1,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed002281/pinocchio.0.0678.000.mf.out,0.067799,-0.14892410130537487,0.9216454425063564,0.28463886570242675,52,0.027678230707089916,0.00023074185417892856,1.686
1,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed002281/pinocchio.0.0336.000.mf.out,0.033622,-0.14707196334895062,0.9274730279507637,0.2838901025343241,53,0.02832004153434475,5.764931193907863e-05,1.686
1,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed002281/pinocchio.0.0000.000.mf.out,0.0,-0.14535693140086864,0.9306397986547901,0.2839779960251023,54,0.029338211606781673,1.592164018426878e-05,1.686
2,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed003253/pinocchio.0.4926.000.mf.out,0.492563,-0.18126216608285928,0.7849963171975699,0.3254349755192206,45,0.02328852320278754,0.0011090798770907462,1.686
2,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed003253/pinocchio.0.4493.000.mf.out,0.449338,-0.17717497628149925,0.8026466985746145,0.31840629606234155,46,0.023539725617335888,0.0010530754139244092,1.686
2,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed003253/pinocchio.0.4072.000.mf.out,0.407205,-0.17320518890074788,0.8235707417593074,0.3111325108372233,46,0.023483004915351754,0.0009547541572398899,1.686
2,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed003253/pinocchio.0.3661.000.mf.out,0.366101,-0.17042279927294202,0.8386421134939943,0.3055784565365492,46,0.023704104704911327,0.0008693514709070538,1.686
2,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed003253/pinocchio.0.3260.000.mf.out,0.325966,-0.16660660845172048,0.8528763502008717,0.3010070466909075,47,0.024058114471051346,0.0007954829505858463,1.686
2,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed003253/pinocchio.0.2867.000.mf.out,0.286745,-0.16506854568074178,0.8632283111353407,0.2974645706908689,47,0.02460563289155953,0.0007083912144631999,1.686
2,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed003253/pinocchio.0.2484.000.mf.out,0.248384,-0.16346950192826748,0.8734739332875191,0.2940405401740142,48,0.024962614352772798,0.0006267917128461864,1.686
2,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed003253/pinocchio.0.2108.000.mf.out,0.210832,-0.15746365580288113,0.8902028958009581,0.2907251891166431,49,0.025324325503556566,0.0005485771442574894,1.686
2,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed003253/pinocchio.0.1740.000.mf.out,0.174043,-0.15584397318048726,0.8983653835168962,0.2885248002183222,50,0.025857179408052485,0.00047110020351159854,1.686
2,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed003253/pinocchio.0.1380.000.mf.out,0.137969,-0.1536574450754136,0.9068771879770617,0.28662917724896386,50,0.026349598444434064,0.0003754472927481878,1.686
2,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed003253/pinocchio.0.1026.000.mf.out,0.102568,-0.15064548143828607,0.9166135828260946,0.2847759547608732,51,0.02688025783619313,0.0002855519149431718,1.686
2,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed003253/pinocchio.0.0678.000.mf.out,0.067799,-0.1483435925320373,0.9235243430897384,0.283889313562331,52,0.02752587450786209,0.00023074185417892856,1.686
2,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed003253/pinocchio.0.0336.000.mf.out,0.033622,-0.14890727578026638,0.9221259130573112,0.28423488843310185,53,0.02873187781060806,5.422283483658141e-05,1.686
2,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed003253/pinocchio.0.0000.000.mf.out,0.0,-0.1495972865951015,0.9234437409114071,0.2840639386879923,53,0.029481583542941076,1.5942095870080664e-05,1.686
3,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed004253/pinocchio.0.4926.000.mf.out,0.492563,-0.173423466462986,0.807086024621155,0.32117701335815113,45,0.02223095136612831,0.0011690484547293156,1.686
3,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed004253/pinocchio.0.4493.000.mf.out,0.449338,-0.16667396174862265,0.8315431767481157,0.31334819076845044,46,0.02242012818220832,0.001076067661419433,1.686
3,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed004253/pinocchio.0.4072.000.mf.out,0.407205,-0.16249275473697053,0.8484434209881616,0.3073932064406695,46,0.022753523226646723,0.0009814294365793064,1.686
