segment_index,z_lo,z_hi,ell_min,ell_max,ell_effective,theory_cl,ensemble_mean_theoretical_normalization_cl,ensemble_mean_measured_normalization_cl,realization_std_cl,ensemble_sem_cl,theoretical_normalization_mean_over_theory,measured_normalization_mean_over_theory,mean_minus_theory_over_sem,theory_model,linear_power_evolution
0,0.44933801,0.49256256,20,39,30.608333333333334,2.48734033971924e-05,2.458879919548325e-05,2.492045406224715e-05,9.407543174473692e-07,3.3260687864877834e-07,0.9885578906447006,1.0018916054350673,-0.8556774377768771,standard-halo-model,scale_dependent_camb
0,0.44933801,0.49256256,40,59,50.165,2.0540136479566817e-05,2.0352029338165938e-05,2.062694443402193e-05,8.348312434437525e-07,2.951574166927374e-07,0.9908419721754036,1.0042262598664555,-0.6373112473629682,standard-halo-model,scale_dependent_camb
0,0.44933801,0.49256256,60,79,69.975,1.7040140681723188e-05,1.674213462394358e-05,1.6969060087024477e-05,3.081093406949127e-07,1.0893310207614453e-07,0.982511525970015,0.9958286380361314,-2.735679532666749,standard-halo-model,scale_dependent_camb
0,0.44933801,0.49256256,80,99,89.86944444444444,1.4358507099512216e-05,1.4117325560304327e-05,1.4308741281975448e-05,4.828429467287113e-07,1.7071076093998335e-07,0.9832028819196612,0.9965340534923398,-1.4128080613071685,standard-halo-model,scale_dependent_camb
0,0.44933801,0.49256256,100,119,109.80227272727272,1.1608343357586534e-05,1.1376592916729949e-05,1.1531156948659444e-05,2.2903177763375979e-07,8.097496153602049e-08,0.9800358730167017,0.9933507817136848,-2.862001246564274,standard-halo-model,scale_dependent_camb
0,0.44933801,0.49256256,120,139,129.75576923076923,9.382684760383046e-06,9.169537154058661e-06,9.29362841944728e-06,1.192107570808246e-07,4.2147367361116656e-08,0.9772828767279523,0.9905084372746069,-5.0571985789324865,standard-halo-model,scale_dependent_camb
0,0.44933801,0.49256256,140,159,149.72166666666666,8.023008582733671e-06,7.87286426345966e-06,7.979162322162765e-06,1.7557330327372796e-07,6.207453667008765e-08,0.9812857835404617,0.9945349353526471,-2.418774707445589,standard-halo-model,scale_dependent_camb
0,0.44933801,0.49256256,160,179,169.6955882352941,6.9896539405288835e-06,6.901569355525622e-06,6.995032912801536e-06,9.924196533061823e-08,3.50873333317802e-08,0.9873978617893354,1.0007695620295969,-2.5104382875252367,standard-halo-model,scale_dependent_camb
0,0.44933801,0.49256256,180,199,189.675,5.90827561992122e-06,5.840314490319272e-06,5.9193404147741e-06,1.2052114467812586e-07,4.2610659339133884e-08,0.9884972987088144,1.0018727621330954,-1.5949325979927338,standard-halo-model,scale_dependent_camb
0,0.44933801,0.49256256,200,219,209.65833333333333,5.008500026317847e-06,4.9757044087376145e-06,5.0430793811997944e-06,7.274190743362257e-08,2.5718148011379322e-08,0.9934520081046414,1.006904133912398,-1.2751935934780982,standard-halo-model,scale_dependent_camb
0,0.44933801,0.49256256,220,239,229.64456521739132,4.4173546845333485e-06,4.440397797439243e-06,4.500601829228605e-06,7.454717446985237e-08,2.635640629296464e-08,1.0052164959690866,1.0188454744163364,0.8742888787552647,standard-halo-model,scale_dependent_camb
0,0.44933801,0.49256256,240,259,249.633,3.951920206614542e-06,3.996356157201704e-06,4.050410646146315e-06,5.6652366062700946e-08,2.0029636106599233e-08,1.0112441416486058,1.0249221731164826,2.2185101292240255,standard-halo-model,scale_dependent_camb
0,0.44933801,0.49256256,260,279,269.6231481481482,3.4730831234397623e-06,3.5732422983776842e-06,3.6216009196790035e-06,2.5223614198251543e-08,8.917894322808473e-09,1.0288386921297534,1.0427625227962147,11.231258334352997,standard-halo-model,scale_dependent_camb
0,0.44933801,0.49256256,280,299,289.6146551724138,3.049235381255138e-06,3.1704154757890905e-06,3.2133718294548226e-06,4.872707315825364e-08,1.7227621928787074e-08,1.0397411414280755,1.0538287234920258,7.0340581558423025,standard-halo-model,scale_dependent_camb
0,0.44933801,0.49256256,300,319,309.60725806451615,2.740022191543877e-06,2.862724877921714e-06,2.90146104734488e-06,3.368538358678934e-08,1.1909581580544384e-08,1.0447816396365388,1.0589188132487495,10.302854516592383,standard-halo-model,scale_dependent_camb
0,0.44933801,0.49256256,320,339,329.6007575757576,2.4930137690141734e-06,2.6156503804355492e-06,2.6510527371395414e-06,2.2251961052023652e-08,7.867256277292432e-09,1.0491921115501384,1.0633927377737116,15.588231411165118,standard-halo-model,scale_dependent_camb
0,0.44933801,0.49256256,340,359,349.595,2.2514675237423943e-06,2.3733418440955817e-06,2.4055172468469467e-06,3.5973401388999775e-08,1.2718518032253653e-08,1.054131058550917,1.068421916585539,9.582430912478875,standard-halo-model,scale_dependent_camb
0,0.44933801,0.49256256,360,379,369.58986486486486,2.0294133089163325e-06,2.1899432317760022e-06,2.2195873603777104e-06,1.484599503730928e-08,5.248851882171611e-09,1.0791016409296093,1.093708881589491,30.583816511365068,standard-halo-model,scale_dependent_camb
