segment_index,z_lo,z_hi,ell_min,ell_max,ell_effective,theory_cl,ensemble_mean_theoretical_normalization_cl,ensemble_mean_measured_normalization_cl,realization_std_cl,ensemble_sem_cl,theoretical_normalization_mean_over_theory,measured_normalization_mean_over_theory,mean_minus_theory_over_sem,theory_model,linear_power_evolution
0,0.44933801,0.49256256,20,39,30.608333333333334,2.487423607055759e-05,2.458879919548325e-05,2.492045406224715e-05,9.407543174473692e-07,3.3260687864877834e-07,0.9885247983389449,1.0018580667787529,-0.8581809138582231,linear-baseline,scale_dependent_camb
0,0.44933801,0.49256256,40,59,50.165,2.0541165629446033e-05,2.0352029338165938e-05,2.062694443402193e-05,8.348312434437525e-07,2.951574166927374e-07,0.990792329184622,1.0041759462984385,-0.6407980304184206,linear-baseline,scale_dependent_camb
0,0.44933801,0.49256256,60,79,69.975,1.704139657082589e-05,1.674213462394358e-05,1.6969060087024477e-05,3.081093406949127e-07,1.0893310207614453e-07,0.9824391184350095,0.9957552490782798,-2.747208526872972,linear-baseline,scale_dependent_camb
0,0.44933801,0.49256256,80,99,89.86944444444444,1.4359994089897396e-05,1.4117325560304327e-05,1.4308741281975448e-05,4.828429467287113e-07,1.7071076093998335e-07,0.9831010703713456,0.996430861489142,-1.4215186450863717,linear-baseline,scale_dependent_camb
0,0.44933801,0.49256256,100,119,109.80227272727272,1.160999327587315e-05,1.1376592916729949e-05,1.1531156948659444e-05,2.2903177763375979e-07,8.097496153602049e-08,0.9798965982496964,0.9932096147396108,-2.882376906587066,linear-baseline,scale_dependent_camb
0,0.44933801,0.49256256,120,139,129.75576923076923,9.384456188821834e-06,9.169537154058661e-06,9.29362841944728e-06,1.192107570808246e-07,4.2147367361116656e-08,0.9770984028867682,0.9903214669505579,-5.099227976014653,linear-baseline,scale_dependent_camb
0,0.44933801,0.49256256,140,159,149.72166666666666,8.024935199791436e-06,7.87286426345966e-06,7.979162322162765e-06,1.7557330327372796e-07,6.207453667008765e-08,0.9810501975971434,0.9942961685684565,-2.449811863115458,linear-baseline,scale_dependent_camb
0,0.44933801,0.49256256,160,179,169.6955882352941,6.991730406018643e-06,6.901569355525622e-06,6.995032912801536e-06,9.924196533061823e-08,3.50873333317802e-08,0.987104615702086,1.0004723446973942,-2.5696182049650953,linear-baseline,scale_dependent_camb
0,0.44933801,0.49256256,180,199,189.675,5.910421964262967e-06,5.840314490319272e-06,5.9193404147741e-06,1.2052114467812586e-07,4.2610659339133884e-08,0.9881383301619417,1.001508936344149,-1.6453036641774808,linear-baseline,scale_dependent_camb
0,0.44933801,0.49256256,200,219,209.65833333333333,5.010689938867396e-06,4.9757044087376145e-06,5.0430793811997944e-06,7.274190743362257e-08,2.5718148011379322e-08,0.9930178217856981,1.0064640683673434,-1.3603440696547073,linear-baseline,scale_dependent_camb
