segment_index,z_lo,z_hi,ell_min,ell_max,ell_effective,theory_cl,ensemble_mean_theoretical_normalization_cl,ensemble_mean_measured_normalization_cl,realization_std_cl,ensemble_sem_cl,theoretical_normalization_mean_over_theory,measured_normalization_mean_over_theory,mean_minus_theory_over_sem,theory_model,linear_power_evolution
0,0.44933801,0.49256256,20,39,30.608333333333334,2.474388088112887e-05,2.458879919548325e-05,2.492045406224715e-05,9.407543174473692e-07,3.3260687864877834e-07,0.9937325237544328,1.0071360342367695,-0.46626120985724473,painting-pair-model,scale_dependent_camb
0,0.44933801,0.49256256,40,59,50.165,2.037707521720731e-05,2.0352029338165938e-05,2.062694443402193e-05,8.348312434437525e-07,2.951574166927374e-07,0.9987708795902062,1.012262270917252,-0.08485600437222655,painting-pair-model,scale_dependent_camb
0,0.44933801,0.49256256,60,79,69.975,1.6855533989781982e-05,1.674213462394358e-05,1.6969060087024477e-05,3.081093406949127e-07,1.0893310207614453e-07,0.9932722768731537,1.0067352418090887,-1.0410000603777365,painting-pair-model,scale_dependent_camb
0,0.44933801,0.49256256,80,99,89.86944444444444,1.4167217352007859e-05,1.4117325560304327e-05,1.4308741281975448e-05,4.828429467287113e-07,1.7071076093998335e-07,0.9964783633607159,1.0099895361559856,-0.2922592074970138,painting-pair-model,scale_dependent_camb
0,0.44933801,0.49256256,100,119,109.80227272727272,1.1452343988561036e-05,1.1376592916729949e-05,1.1531156948659444e-05,2.2903177763375979e-07,8.097496153602049e-08,0.9933855399465167,1.0068818191434983,-0.9354875926355364,painting-pair-model,scale_dependent_camb
0,0.44933801,0.49256256,120,139,129.75576923076923,9.277460361610392e-06,9.169537154058661e-06,9.29362841944728e-06,1.192107570808246e-07,4.2147367361116656e-08,0.9883671604787112,1.0017427245395507,-2.5606156281850376,painting-pair-model,scale_dependent_camb
0,0.44933801,0.49256256,140,159,149.72166666666666,7.939587480878189e-06,7.87286426345966e-06,7.979162322162765e-06,1.7557330327372796e-07,6.207453667008765e-08,0.9915961354945422,1.0049844959048424,-1.074888690239423,painting-pair-model,scale_dependent_camb
0,0.44933801,0.49256256,160,179,169.6955882352941,6.922550742451248e-06,6.901569355525622e-06,6.995032912801536e-06,9.924196533061823e-08,3.50873333317802e-08,0.9969691248636198,1.0104704426225155,-0.5979761051439689,painting-pair-model,scale_dependent_camb
0,0.44933801,0.49256256,180,199,189.675,5.889717807457136e-06,5.840314490319272e-06,5.9193404147741e-06,1.2052114467812586e-07,4.2610659339133884e-08,0.9916119381686992,1.0050295461150036,-1.159412173012108,painting-pair-model,scale_dependent_camb
0,0.44933801,0.49256256,200,219,209.65833333333333,5.0389664504371685e-06,4.9757044087376145e-06,5.0430793811997944e-06,7.274190743362257e-08,2.5718148011379322e-08,0.9874454330423126,1.000816225073749,-2.4598210443288133,painting-pair-model,scale_dependent_camb
