segment,z_lo,z_hi,ell_lo,ell_stop,n_bins,pair_rms_percent,pair_mean_bias_percent,Scheme 5_rms_percent,Scheme 5_mean_bias_percent,Scheme 6_rms_percent,Scheme 6_mean_bias_percent,excluding_reference_seed_rms_percent
0,0.44933801,0.49256256,20,200,9,0.6893643929918378,-0.6201784163266938,2.784574377070473,-2.639756248216264,1.6189033386727072,-1.559844838966156,0.6467987411313667
0,0.44933801,0.49256256,200,2000,90,2.064652693509459,-1.5102233985127351,16.464342032527345,-13.713226112574661,10.94630261840448,1.0798695227728634,2.017880778591501
0,0.44933801,0.49256256,20,2000,99,1.979511664171096,-1.429310218314004,15.720569733204226,-12.706547033996623,10.448298070007093,0.8398954898874978,1.9338322052250074
1,0.40720486,0.44933801,20,200,9,1.210894962487072,1.0162605998296905,1.4788252663501902,-1.2348303657572248,0.7995772874580149,0.13165362577932044,1.3146212420791263
1,0.40720486,0.44933801,200,2000,90,1.3934005775037914,-0.10088036064243527,17.094185477539536,-14.478201831138504,11.532975771565644,-0.022811553793518933,1.399161720043372
1,0.40720486,0.44933801,20,2000,99,1.3778084806893869,0.0006779084913943409,16.30476421053795,-13.274258970649297,10.99890335572275,-0.008769264741442627,1.3916884512403347
2,0.36610056,0.40720486,20,200,9,1.5329930224327462,-1.0793554406043238,3.619092291941927,-3.5344881865403694,2.278150167592772,-1.8312054474891863,1.6029047501091562
2,0.36610056,0.40720486,200,2000,90,1.594460331163638,-1.0583023105497715,19.114708503072507,-17.150834029597416,11.793833951981277,-3.2572033243643688,1.65944612069808
2,0.36610056,0.40720486,20,2000,99,1.5889706526087906,-1.060216231463822,18.257796941162425,-15.912984407501318,11.265938854695706,-3.1275671537393523,1.6543858490504333
3,0.32596586,0.36610056,20,200,9,0.9279223131860078,0.017077701504967603,3.272526004875013,-2.791089051537663,1.480270628873883,-0.6004179615791411,0.9746509229567591
3,0.32596586,0.36610056,200,2000,90,1.2668195642818718,-0.744238553378871,19.696506428153636,-18.128464905839213,11.950383253283867,-5.0724894926246495,1.2875491350909802
3,0.32596586,0.36610056,20,2000,99,1.2398444881876256,-0.6750279847530676,18.80578508959304,-16.734158009993614,11.402981269420817,-4.665937535256877,1.262312890701962
4,0.28674463,0.32596586,20,200,9,1.0102504687496616,0.4014101287875777,3.0403820801481505,-2.7900204276931615,1.8141086348764417,0.08240113873867472,0.9648291011633083
4,0.28674463,0.32596586,200,2000,90,1.120813121249509,0.5199048690099797,19.091425930674212,-17.70270113901699,11.729381299865011,-5.722700384178057,1.1123761238567402
4,0.28674463,0.32596586,20,2000,99,1.1112166361597289,0.5091326198988523,18.22602874975906,-16.347002892533006,11.196894240309204,-5.194963882094718,1.0997810362115912
5,0.2483836,0.28674463,20,200,9,1.1023236529184062,-0.2118719623903679,4.071868277309488,-3.8573827439982313,2.5838629713558414,-0.04325496598338092,1.1106125133912859
5,0.2483836,0.28674463,200,2000,90,0.8898648082733973,-0.011100018949730981,19.514079891830445,-18.279355218346147,11.811618924401339,-7.597161935761282,0.9133480741953912
5,0.2483836,0.28674463,20,2000,99,0.911228501720112,-0.029352013807970704,18.646406554896046,-16.96826681158725,11.28885115343091,-6.910443120326927,0.9330062457778671
6,0.21083225,0.2483836,20,200,9,1.3148295724591206,0.5997081898843465,3.8581402337391366,-3.788069739943218,3.81846078226958,1.4603952706070227,1.3668157482496923
6,0.21083225,0.2483836,200,2000,90,1.327236741743248,0.9303684696223025,18.234453250697698,-16.78720797542973,10.975044987541555,-7.757984028208319,1.3751832219632756
6,0.21083225,0.2483836,20,2000,99,1.3261136140461984,0.9003084441915792,17.424742334294216,-15.605468135840047,10.527439330933497,-6.9199495464978344,1.3744246475378947
7,0.17404257,0.21083225,20,200,9,1.5799725360697976,0.4489437805176793,5.111375843837094,-5.049607986599682,5.307624270850525,2.2491514693541,1.5389541165578122
7,0.17404257,0.21083225,200,2000,90,1.222913067418626,0.3727151928690442,17.67892303552887,-15.796012948773551,10.942034861169361,-8.841309700525368,1.2943021458375799
7,0.17404257,0.21083225,20,2000,99,1.2595625835029596,0.3796450644734656,16.926497140654664,-14.81906704312138,10.554844404481582,-7.833085957809052,1.3184205502338386
8,0.13796899,0.17404257,20,200,9,1.4894021212049322,0.2738659452972322,7.5286053931101256,-7.21905334486434,5.799050612059347,2.940216461542664,1.5794307785345592
8,0.13796899,0.17404257,200,2000,90,1.5598276996831992,-1.1905181935162308,17.488347508007767,-15.077704421069408,11.391427157038446,-10.406133549214355,1.7275115998325123
8,0.13796899,0.17404257,20,2000,99,1.5535573022652813,-1.0573923627150068,16.82828486040847,-14.363281595959856,11.001136779038942,-9.192829002781897,1.7145782640675324
9,0.10256817,0.13796899,20,200,9,2.2925868919515224,1.760837633171333,10.869462378822334,-9.73211969063527,5.680531364449238,4.103494264280105,2.487373502958005
9,0.10256817,0.13796899,200,2000,90,1.5108267439627372,-1.031164408514593,15.251870081466043,-12.058013158994314,10.599171298028127,-10.238719649809793,1.5221790700084097
9,0.10256817,0.13796899,20,2000,99,1.5977805390284476,-0.7773460410885997,14.906803273624075,-11.846568298234398,10.250023319848967,-8.934882021256167,1.6336606456036158
10,0.06779888,0.10256817,20,200,9,4.16236724888118,3.9593978424135257,16.72681685405238,-14.394397299304451,5.55728422417924,2.568020586610411,4.208160966154568
10,0.06779888,0.10256817,200,2000,90,1.5399989571241783,1.05687396316076,11.136072513320142,-6.846811771024256,8.952604208561176,-8.768236250562202,1.6379946317883558
10,0.06779888,0.10256817,20,2000,99,1.931585994461411,1.3207397703655568,11.754718635851015,-7.532955909958818,8.698874687409466,-7.737667447182874,2.0122100661787425
11,0.03362193,0.06779888,20,200,9,2.455307379801288,2.1496996071885537,24.681442544263252,-22.98694464101158,10.477054106735999,-6.230673235349168,3.459797062083874
11,0.03362193,0.06779888,200,2000,90,2.008660906338454,-0.4303374498801827,8.213558740730843,-5.629884505353573,11.447890881097647,-11.391262131577665,1.8762244117338591
11,0.03362193,0.06779888,20,2000,99,2.0532838597504965,-0.1957886265102975,10.803194300088572,-7.207799063140665,11.36306104329711,-10.922117686465983,2.070844714398294
12,0.0,0.03362193,20,200,9,9.262314283758853,-9.086567872516257,30.116465943173687,-29.646823994421425,19.997036126729643,-19.29856093588848,7.8493748137298995
12,0.0,0.03362193,200,2000,90,6.231586987770597,-3.079307415368288,11.397961688564452,-10.975500129144038,14.662629743730344,-13.913101171641474,6.077069761415982
12,0.0,0.03362193,20,2000,99,6.56517831754395,-3.6254220023817396,14.16184639812893,-12.672893207805616,15.22500504215766,-14.402688422936658,6.258960513590839
