zbin,massbin,n_sample,lower,upper,count,expected,sigma,ratio,pull
0,0,945,0.2,0.24000000000000002,0,1.4857529564118962e-10,1.2189146633010448e-05,0.0,-1.2189146633023548e-05
0,0,945,0.24000000000000002,0.28,0,3.5628882575479132e-09,5.968993430612308e-05,0.0,-5.968993430744029e-05
0,0,945,0.28,0.32,0,7.022085063875845e-08,0.0002649921708518976,0.0,-0.00026499217094985207
0,0,945,0.32,0.36,0,1.138297733371356e-06,0.0010669103653150093,0.0,-0.0010669103707088546
0,0,945,0.36,0.4,0,1.5183938362464862e-05,0.0038966572217858783,0.0,-0.003896657442069258
0,0,945,0.4,0.44,0,0.00016667408633340037,0.012910228503253626,0.0,-0.012910235189980974
0,0,945,0.44,0.48000000000000004,0,0.0015046295206592756,0.038789478626188874,0.0,-0.038789629918960004
0,0,945,0.48000000000000004,0.52,0,0.011153793829384449,0.10561024323894729,0.0,-0.10561280314588951
0,0,945,0.52,0.56,0,0.06773344950790941,0.260240261943606,0.0,-0.26027275334739414
0,0,945,0.56,0.6000000000000001,1,0.3358605733866385,0.5793798704047259,2.9774259893518744,1.1462935813586805
0,0,945,0.6000000000000001,0.64,2,1.3545271003103525,1.1627325472876444,1.4765300742537784,0.5551344556367408
0,0,945,0.64,0.6799999999999999,6,4.423844347183869,2.097359160213712,1.356286417224304,0.7514953483958977
0,0,945,0.6799999999999999,0.72,15,11.647215817158056,3.3892229098181237,1.287861428471412,0.9892486484525342
0,0,945,0.72,0.76,31,24.609090934334564,4.891800617528292,1.2596970803480128,1.306453301217049
0,0,945,0.76,0.8,34,41.56875954817173,6.300311077179854,0.8179219291015718,-1.2013310859500694
0,0,945,0.8,0.8400000000000001,63,56.32878767226766,7.276355151669073,1.118433444130678,0.9168343475101098
0,0,945,0.8400000000000001,0.8800000000000001,55,65.02135265191346,7.780764351685827,0.8458759739194913,-1.2879650634506332
0,0,945,0.8800000000000001,0.9199999999999999,79,82.83403278382855,8.692810133367127,0.9537142807735294,-0.4410579231578649
0,0,945,0.9199999999999999,0.96,142,139.15627061009462,10.891653966969836,1.0204355102176697,0.2610925207988893
0,0,945,0.96,1.0,214,204.50910112315083,12.657970734194647,1.0464081980935116,0.7497962411313019
0,0,945,1.0,1.04,181,186.78305836008855,12.233365927386119,0.9690386354583631,-0.4727283066994957
0,0,945,1.04,1.08,92,95.45269986340969,9.257323157888024,0.9638281591997878,-0.37296957279358867
0,0,945,1.08,1.12,26,26.55088970875142,5.078963481034649,0.9792515537221398,-0.10846498715899346
0,0,945,1.12,1.16,3,3.997986728640735,1.9952363256734231,0.750377678472175,-0.5001847228818366
0,0,945,1.16,1.2,1,0.32959585266354186,0.5740041759405887,3.0340187593950714,1.1679429792264213
0,0,945,1.2,1.24,0,0.015770541236555746,0.12557975465650703,0.0,-0.12558187647118946
0,0,945,1.24,1.28,0,0.0005553432386408153,0.02356571407801413,0.0,-0.023565729296483668
0,0,945,1.28,1.32,0,2.4051135407154867e-05,0.004904195609114444,0.0,-0.004904195779315133
0,0,945,1.32,1.3599999999999999,0,1.3695958123172147e-06,0.0011702973165355203,0.0,-0.0011702973192929179
0,0,945,1.3599999999999999,1.4,0,7.297229731584309e-08,0.0002701338507210218,0.0,-0.00027013385075980184
0,1,1949,0.2,0.24000000000000002,0,1.632402114978418e-10,1.2776549279742139e-05,0.0,-1.2776549279754851e-05
