zbin,lower,upper,missing_fraction,minimum_support_particles,complete
0,-23.4,-23.1,0.0,731.5146468032922,True
0,-23.1,-22.8,0.0,293.26423586461374,True
0,-22.8,-22.5,0.0,120.46157871236096,True
0,-22.5,-22.2,0.0,52.79838760323257,True
0,-22.2,-22.0,0.0,32.25649814025676,True
0,-22.0,-21.8,0.0003630768283637154,21.04755279940665,False
0,-21.8,-21.5,0.010426328718252782,13.014185383395512,False
1,-23.4,-23.1,0.0,442.90250394951227,True
1,-23.1,-22.8,0.0,167.62547538437212,True
1,-22.8,-22.5,0.0,66.43375070811979,True
1,-22.5,-22.2,1.665451129916492e-08,29.781137933637716,True
1,-22.2,-22.0,0.0008715072897085129,19.41789838265397,True
1,-22.0,-21.8,0.00920146610355615,13.947538270526795,False
1,-21.8,-21.5,0.03689267236097618,10.140726524952587,False
2,-23.4,-23.1,0.0,292.22790480325364,True
2,-23.1,-22.8,0.0,110.474362158606,True
2,-22.8,-22.5,0.0,44.97956497662892,True
2,-22.5,-22.2,0.00027900797522690586,21.291011534005104,True
2,-22.2,-22.0,0.007532216196756698,14.571106255600794,True
2,-22.0,-21.8,0.027870414467720536,11.070640833718812,False
2,-21.8,-21.5,0.07691946254422351,8.66802772452823,False
