zbin,magnitude_lower,magnitude_upper,colour_lower,colour_upper,count,n_magnitude_bin,mean_measured,mean_expected,sigma_mean
0,-23.4,-23.3,0.2,0.24000000000000002,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.24000000000000002,0.28,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.28,0.32,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.32,0.36,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.36,0.4,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.4,0.44,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.44,0.48000000000000004,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.48000000000000004,0.52,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.52,0.56,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.56,0.6000000000000001,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.6000000000000001,0.64,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.64,0.6799999999999999,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.6799999999999999,0.72,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.72,0.76,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.76,0.8,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.8,0.8400000000000001,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.8400000000000001,0.8800000000000001,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.8800000000000001,0.9199999999999999,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,0.9199999999999999,0.96,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
