zbin,phi_lower,phi_upper,area_lower,area_upper,count,expected,sigma,pull
0,0.0,15.0,0.0,0.08333333333333333,7,9.19431997693732,2.610977530022239,
0,0.0,15.0,0.08333333333333333,0.16666666666666666,11,8.985379961311452,2.6563479408805097,
0,0.0,15.0,0.16666666666666666,0.25,6,4.351019318686544,1.8658454188380866,
0,0.0,15.0,0.25,0.3333333333333333,8,9.643083406270145,2.68587785598438,
0,0.0,15.0,0.3333333333333333,0.41666666666666663,19,14.278489612416589,3.1609077511293404,
0,0.0,15.0,0.41666666666666663,0.5,22,16.601263612656123,3.355435575791208,1.6089524788658358
0,0.0,15.0,0.5,0.5833333333333333,10,10.82267535553139,2.76620618188789,
0,0.0,15.0,0.5833333333333333,0.6666666666666666,18,12.219276185744507,2.819548557502872,
0,0.0,15.0,0.6666666666666666,0.75,14,11.096514402663379,2.887092728715566,
0,0.0,15.0,0.75,0.8333333333333333,10,10.39414884591101,2.7955037726034004,
0,0.0,15.0,0.8333333333333333,0.9166666666666666,20,18.964474361774876,3.4949420067026638,0.29629265270759114
0,0.0,15.0,0.9166666666666666,1.0,13,10.866638610510282,2.768241920614619,
0,15.0,30.0,0.0,0.08333333333333333,10,12.83629193849689,2.9034949756551844,
0,15.0,30.0,0.08333333333333333,0.16666666666666666,11,8.965671789246219,2.599245862643824,
0,15.0,30.0,0.16666666666666666,0.25,20,19.031723647157687,3.673147536566339,0.2636094366488362
0,15.0,30.0,0.25,0.3333333333333333,9,14.376850565357126,3.297144493395224,-1.630759760795418
0,15.0,30.0,0.3333333333333333,0.41666666666666663,23,17.467006434803103,3.6406066722588757,1.5197998749378376
0,15.0,30.0,0.41666666666666663,0.5,13,10.437649256038927,2.8960117967647605,
0,15.0,30.0,0.5,0.5833333333333333,12,12.077768553747173,2.9671372309504216,
0,15.0,30.0,0.5833333333333333,0.6666666666666666,12,9.50115355119524,2.664225617579133,
0,15.0,30.0,0.6666666666666666,0.75,14,13.060403832566212,3.05682193702306,
0,15.0,30.0,0.75,0.8333333333333333,9,9.969117534952039,2.643564632869913,
0,15.0,30.0,0.8333333333333333,0.9166666666666666,7,8.475881278023243,2.5991455577118305,
0,15.0,30.0,0.9166666666666666,1.0,6,8.407084328386805,2.514406122089777,
0,30.0,45.0,0.0,0.08333333333333333,8,6.998702960561336,2.307552645392525,
0,30.0,45.0,0.08333333333333333,0.16666666666666666,9,10.70322000726603,2.8231637695594616,
0,30.0,45.0,0.16666666666666666,0.25,3,9.264685781687914,2.6779423424615754,
0,30.0,45.0,0.25,0.3333333333333333,7,9.56530189942896,2.6792807478239453,
0,30.0,45.0,0.3333333333333333,0.41666666666666663,22,16.81886405701992,3.3444928415053066,1.5491544423961536
0,30.0,45.0,0.41666666666666663,0.5,22,16.318602470271593,3.344718047422033,1.6986177756021583
0,30.0,45.0,0.5,0.5833333333333333,11,14.084718668612215,3.0567313771879037,
0,30.0,45.0,0.5833333333333333,0.6666666666666666,13,10.195060736025782,2.6828650591064656,
0,30.0,45.0,0.6666666666666666,0.75,19,14.808515908647802,3.13738556840677,
0,30.0,45.0,0.75,0.8333333333333333,13,11.79064338468077,2.971843280467196,
0,30.0,45.0,0.8333333333333333,0.9166666666666666,11,8.747812425969757,2.5243767063177143,
0,30.0,45.0,0.9166666666666666,1.0,10,12.034259407854236,2.945312693121041,
0,45.0,60.0,0.0,0.08333333333333333,7,7.857500776070847,2.512758856558464,
0,45.0,60.0,0.08333333333333333,0.16666666666666666,10,10.055199069019288,2.7655814799803786,
0,45.0,60.0,0.16666666666666666,0.25,16,12.733481502225352,3.0607522275033414,
0,45.0,60.0,0.25,0.3333333333333333,19,12.93571486213374,3.012272180879696,
0,45.0,60.0,0.3333333333333333,0.41666666666666663,9,11.004899011334219,2.858919708358391,
0,45.0,60.0,0.41666666666666663,0.5,16,13.373118986806752,3.1876544421739252,0.8240796048776733
0,45.0,60.0,0.5,0.5833333333333333,18,17.08102298362251,3.4659748330332985,0.2651424377404476
0,45.0,60.0,0.5833333333333333,0.6666666666666666,9,8.349405189066577,2.6589952643921726,
0,45.0,60.0,0.6666666666666666,0.75,14,11.404216615498877,2.9418725617830153,
0,45.0,60.0,0.75,0.8333333333333333,17,15.473471748428967,3.3283688877795807,0.4586415457661034
0,45.0,60.0,0.8333333333333333,0.9166666666666666,14,13.040100475527435,3.1109069067452397,
0,45.0,60.0,0.9166666666666666,1.0,7,9.691731172837528,2.6697353977168317,
0,60.0,75.0,0.0,0.08333333333333333,5,9.793032793805565,2.809136549597961,
0,60.0,75.0,0.08333333333333333,0.16666666666666666,10,10.894079424709505,2.830830309182053,
0,60.0,75.0,0.16666666666666666,0.25,5,9.69185016318928,2.7728202839324796,
0,60.0,75.0,0.25,0.3333333333333333,7,10.025702714424254,2.8456021196643344,
0,60.0,75.0,0.3333333333333333,0.41666666666666663,14,19.855001783995917,3.494070262744193,-1.675696635647356
0,60.0,75.0,0.41666666666666663,0.5,9,16.069174131995705,3.3191683813580997,-2.1298028059375587
0,60.0,75.0,0.5,0.5833333333333333,16,12.175184348987763,2.9654541211225256,
0,60.0,75.0,0.5833333333333333,0.6666666666666666,13,8.556785842615747,2.6516140378299067,
0,60.0,75.0,0.6666666666666666,0.75,9,10.641644355755083,2.8082590778760848,
0,60.0,75.0,0.75,0.8333333333333333,14,12.944623658032715,3.133431341857481,
0,60.0,75.0,0.8333333333333333,0.9166666666666666,9,10.86732210824271,2.8935007129699817,
0,60.0,75.0,0.9166666666666666,1.0,19,14.19801147526255,3.22709516974398,1.4880219739904395
0,75.0,90.0,0.0,0.08333333333333333,9,6.5867674224635,2.311583029365008,
0,75.0,90.0,0.08333333333333333,0.16666666666666666,17,16.968135783399077,3.3917540553311327,0.009394612958695727
0,75.0,90.0,0.16666666666666666,0.25,4,3.7946168399841342,1.769040627329931,
0,75.0,90.0,0.25,0.3333333333333333,3,7.775104457967921,2.4596938975556206,
0,75.0,90.0,0.3333333333333333,0.41666666666666663,8,11.369934039711767,2.8871583955170372,
0,75.0,90.0,0.41666666666666663,0.5,3,6.357143028154566,2.2128409856804834,
0,75.0,90.0,0.5,0.5833333333333333,6,9.42147084781773,2.7135181615258084,
0,75.0,90.0,0.5833333333333333,0.6666666666666666,15,14.847416859733015,3.253012612875093,0.04690517942140063
0,75.0,90.0,0.6666666666666666,0.75,22,16.994547950731093,3.385330399759538,1.4785712052284312
0,75.0,90.0,0.75,0.8333333333333333,7,7.896729446032836,2.3883683510321263,
0,75.0,90.0,0.8333333333333333,0.9166666666666666,10,12.680780999444023,3.070819849624976,
0,75.0,90.0,0.9166666666666666,1.0,16,16.17355797896702,3.2062923324036507,-0.05413042884860959
0,90.0,105.0,0.0,0.08333333333333333,5,4.999710610607283,2.0471536197257523,
0,90.0,105.0,0.08333333333333333,0.16666666666666666,8,9.823021713421022,2.769663837482059,
0,90.0,105.0,0.16666666666666666,0.25,13,11.827948451382087,2.93287142793873,
0,90.0,105.0,0.25,0.3333333333333333,14,9.985891026627781,2.8074460610986858,
0,90.0,105.0,0.3333333333333333,0.41666666666666663,7,9.773228604428414,2.725427369700004,
0,90.0,105.0,0.41666666666666663,0.5,13,16.983463141091836,3.4608927698582055,-1.150992939100809
0,90.0,105.0,0.5,0.5833333333333333,10,8.820890277337725,2.494488676208405,
0,90.0,105.0,0.5833333333333333,0.6666666666666666,21,18.37244297514919,3.3714099557587702,0.779364437825969
0,90.0,105.0,0.6666666666666666,0.75,16,11.755827746515187,2.92241776615325,
0,90.0,105.0,0.75,0.8333333333333333,10,12.727344233685018,2.898399073725886,
0,90.0,105.0,0.8333333333333333,0.9166666666666666,7,6.8902239125037275,2.3035116485109044,
0,90.0,105.0,0.9166666666666666,1.0,14,10.601736713103042,2.7172987791938303,
0,105.0,120.0,0.0,0.08333333333333333,13,6.744181110738368,2.3583551115417656,
0,105.0,120.0,0.08333333333333333,0.16666666666666666,8,9.90833233206335,2.7289887316336605,
0,105.0,120.0,0.16666666666666666,0.25,12,7.9505566697985035,2.5417297918963393,
0,105.0,120.0,0.25,0.3333333333333333,14,10.892675484218628,2.853670788022214,
0,105.0,120.0,0.3333333333333333,0.41666666666666663,9,11.527838653150495,2.920788701765063,
0,105.0,120.0,0.41666666666666663,0.5,15,11.643083506917137,2.9949034975723063,
0,105.0,120.0,0.5,0.5833333333333333,20,12.238844257954028,2.961054966524287,
0,105.0,120.0,0.5833333333333333,0.6666666666666666,14,11.696384526948513,2.9264717620880325,
0,105.0,120.0,0.6666666666666666,0.75,8,7.842473310150072,2.4200871881064168,
0,105.0,120.0,0.75,0.8333333333333333,8,10.14138293591414,2.70034297369129,
0,105.0,120.0,0.8333333333333333,0.9166666666666666,6,6.485813371641975,2.244726660810606,
0,105.0,120.0,0.9166666666666666,1.0,11,11.424723761042404,2.959799203395815,
0,120.0,135.0,0.0,0.08333333333333333,5,5.681613500348427,2.1396514983494637,
0,120.0,135.0,0.08333333333333333,0.16666666666666666,10,11.917769145558253,2.9540599081569643,
0,120.0,135.0,0.16666666666666666,0.25,9,9.43546931760608,2.6805539590073395,
0,120.0,135.0,0.25,0.3333333333333333,7,8.859197570011037,2.613300478062674,
0,120.0,135.0,0.3333333333333333,0.41666666666666663,6,9.511888111732956,2.592165567891473,
0,120.0,135.0,0.41666666666666663,0.5,8,7.604278408512245,2.3933103270435496,
0,120.0,135.0,0.5,0.5833333333333333,10,14.124074427839432,3.1298390869014883,
0,120.0,135.0,0.5833333333333333,0.6666666666666666,12,14.607300158392496,3.1704210921433003,-0.8223829209481704
0,120.0,135.0,0.6666666666666666,0.75,10,11.441034434579777,2.9287633766233476,
0,120.0,135.0,0.75,0.8333333333333333,9,10.134749412123787,2.566186852769836,
0,120.0,135.0,0.8333333333333333,0.9166666666666666,4,8.696211508509245,2.5511892739485855,
0,120.0,135.0,0.9166666666666666,1.0,17,15.513399363666782,3.254178425822238,0.4568282502695275
0,135.0,150.0,0.0,0.08333333333333333,13,10.42050517566547,2.8539174271846313,
