lower,upper,count,expected,sigma,independent_lf_count,volume
0.05,0.060000000000000005,90,91.76297757719918,8.228584481476632,91.75966114839548,2832622.9333634637
0.060000000000000005,0.07,126,132.5653120858717,9.947382667223874,132.56010711041392,3905415.3350238972
0.07,0.08000000000000002,180,182.6815435145503,11.512441728902248,182.6746101154988,5136280.483793247
0.08000000000000002,0.09000000000000001,258,243.16429698450818,13.296765084630104,243.15514491655256,6524187.106228197
0.09000000000000001,0.1,321,315.33139047328837,15.19324310607138,315.31852775716635,8069721.2137699835
0.1,0.11000000000000001,377,400.90845685625476,17.1013458751829,400.8926056593065,9769077.000202779
0.11000000000000001,0.12000000000000002,502,503.33316244691383,19.147355736950754,503.31343695046723,11611502.927037127
0.12000000000000002,0.13000000000000003,642,633.2019802766569,21.40646487721102,633.1774988943472,13589919.51520383
0.13000000000000003,0.14,788,821.1763693116244,24.18418681833633,821.1459088573052,15697425.871869374
0.14,0.15000000000000002,1118,1123.966845202783,28.14394704813148,1123.9271665957351,17926869.10449938
0.15000000000000002,0.16000000000000003,1618,1552.9057893425556,32.54547897146942,1552.8543611933458,20272835.075578626
0.16000000000000003,0.17000000000000004,2032,2013.058534490881,36.97202436110893,2012.9941911649303,22733686.141503844
0.17000000000000004,0.18000000000000002,2431,2443.415893571198,40.32192049179614,2443.3413781034337,25305514.88913144
0.18000000000000002,0.19000000000000003,2854,2863.612438827582,43.76365316577582,2863.5263628467155,27984032.92545009
0.19000000000000003,0.20000000000000004,3288,3302.5041439818337,46.66466622165914,3302.4073282008367,30765080.35305571
0.20000000000000004,0.21000000000000005,3706,3775.995254596995,49.79580872804959,3775.885709053524,33644365.60822952
0.21000000000000005,0.22000000000000006,4279,4291.77789081391,53.002768968098295,4291.65817449946,36615665.24008156
0.22000000000000006,0.23000000000000004,4918,4854.391146629581,56.08161520872657,4854.255645405592,39673284.01507389
0.23000000000000004,0.24000000000000005,5365,5467.352334210213,59.489813662931766,5467.203681692106,42812435.55028306
0.24000000000000005,0.25000000000000006,6105,6133.881338178657,62.97747182910654,6133.7202665692685,46028415.59923004
0.25000000000000006,0.26,6846,6857.172950840442,66.49041363490777,6856.995917318877,49316600.80339072
0.26,0.27,7656,7640.509233340717,69.84076234395934,7640.314414874537,52672595.7562442
0.27,0.28,8497,8487.333767832492,73.5908038731959,8487.121727856056,56092423.24987315
0.28,0.29000000000000004,9501,9401.186386576872,76.97650748723967,9400.958902865767,59571937.43898417
0.29000000000000004,0.30000000000000004,10354,10385.741308866465,81.01166933718302,10385.494215371149,63107021.70880709
0.30000000000000004,0.31000000000000005,11440,11444.79876660358,84.75890827368895,11444.537578023934,66693656.68193338
0.31000000000000005,0.32,12695,12582.324878115434,88.36929024465104,12582.044967988075,70327921.04678096
