zbin,massbin,lower,upper,n_available,n_data,n_random,w_theta,jackknife_sigma,dd,dr,rr,null_reference
0,0,0.08,0.11742394140976554,945,945,2835,-0.6650198288145557,1.6733079941347913,2.2419513944937672e-06,2.9861052788742383e-06,2.2403692128462773e-06,0.0
0,0,0.11742394140976554,0.17235477520255066,945,945,2835,0.16801955978038857,0.6316705244045321,4.4839027889875344e-06,4.105894758452077e-06,4.4807384256925546e-06,0.0
0,0,0.17235477520255066,0.25298221281347033,945,945,2835,1.2926796670919138,1.0519510757679769,1.7935611155950138e-05,7.838526357044876e-06,7.716827288692733e-06,0.0
0,0,0.25298221281347033,0.37132710668902225,945,945,2835,0.7291017519831079,0.687558293834737,3.138731952291274e-05,1.828989483310471e-05,1.9167603265462593e-05,0.0
0,0,0.37132710668902225,0.5450336552463688,945,945,2835,0.5496726345792101,0.3081773768402748,5.156488207335665e-05,3.50867370267723e-05,4.132236548138689e-05,0.0
0,0,0.5450336552463688,0.7999999999999999,945,945,2835,0.18689844586965057,0.24258991067243613,9.864586135772576e-05,8.697031624721219e-05,9.260192746431279e-05,0.0
0,0,0.7999999999999999,1.174239414097655,945,945,2835,0.20752823491713526,0.07987530275544728,0.00022195318805488297,0.0001918572641676698,0.00020412252828154969,0.0
0,0,1.174239414097655,1.7235477520255065,945,945,2835,-0.020439654670415804,0.1299399697476617,0.0004192449107703345,0.0004124557916445042,0.0003975410703239449,0.0
0,0,1.7235477520255065,2.529822128134703,945,945,2835,0.10727451107953176,0.08149288044305793,0.0009797327593937762,0.0008868732678256487,0.000889426577499972,0.0
0,0,2.529822128134703,3.7132710668902216,945,945,2835,-0.014511728107819255,0.03693104457090509,0.001851851851851852,0.0018950570626055634,0.0019105370787327973,0.0
0,0,3.7132710668902216,5.450336552463689,945,945,2835,0.027983514184079135,0.021614113416255975,0.003979463725226437,0.003967787389304144,0.00407000407000407,0.0
