product,populated_bins,maximum_absolute_pull
apparent_magnitude,24,1.3797542094199862
redshift_counts,27,2.00009994366678
colour_distribution,113,2.7204462540643455
satellite_radii,74,2.620367510393101
satellite_velocity,62,3.1088718771562083
sky,579,3.1502286533404633
