segment_index,z_lo,z_hi,ell_min,ell_max,ell_effective,theory_cl,ensemble_mean_theoretical_normalization_cl,ensemble_mean_measured_normalization_cl,realization_std_cl,ensemble_sem_cl,theoretical_normalization_mean_over_theory,measured_normalization_mean_over_theory,mean_minus_theory_over_sem,theory_model,linear_power_evolution
9,0.10256817,0.13796899,20,39,30.608333333333334,0.00022071826548362918,0.0002222642506746393,0.00022573156241082918,7.798035922486931e-06,2.7570220403634016e-06,1.0070043373511595,1.0227135571050954,0.5607445890444662,painting-pair-model,scale_dependent_camb
9,0.10256817,0.13796899,40,59,50.165,0.00012196406301376714,0.00012203124075622905,0.0001239357768590668,3.3016637170656447e-06,1.1673144017673499e-06,1.000550799479797,1.0161663509445165,0.057548970834425506,painting-pair-model,scale_dependent_camb
9,0.10256817,0.13796899,60,79,69.975,7.610804957243551e-05,7.541388676160726e-05,7.656901289696982e-05,3.195726289144297e-06,1.1298598649350268e-06,0.9908792458257969,1.0060566960672876,-0.6143795636710784,painting-pair-model,scale_dependent_camb
9,0.10256817,0.13796899,80,99,89.86944444444444,5.220912051562875e-05,5.332010142777599e-05,5.414816478451325e-05,1.339549269779586e-06,4.736021861973166e-07,1.0212794412389052,1.0371399527464564,2.3458103541869586,painting-pair-model,scale_dependent_camb
9,0.10256817,0.13796899,100,119,109.80227272727272,3.829421958074995e-05,3.891519162308449e-05,3.951572981545368e-05,8.82541547503611e-07,3.1202555645933643e-07,1.0162158166201851,1.031898031819867,1.990131992330783,painting-pair-model,scale_dependent_camb
9,0.10256817,0.13796899,120,139,129.75576923076923,2.948126727231735e-05,3.0290384986625525e-05,3.0757703694867626e-05,8.525439705002945e-07,3.0141981140023107e-07,1.0274451470092647,1.0432965249003674,2.6843547892537596,painting-pair-model,scale_dependent_camb
9,0.10256817,0.13796899,140,159,149.72166666666666,2.3598551347045313e-05,2.414221100452158e-05,2.4514702672556665e-05,5.737230428588863e-07,2.0284172706424935e-07,1.023037840309818,1.038822354475842,2.6802160745952723,painting-pair-model,scale_dependent_camb
9,0.10256817,0.13796899,160,179,169.6955882352941,1.9463494992260674e-05,2.0181875019019456e-05,2.0496354717496754e-05,3.9199568067525855e-07,1.385914020006559e-07,1.0369090971094572,1.0530665086433233,5.183438628865176,painting-pair-model,scale_dependent_camb
9,0.10256817,0.13796899,180,199,189.675,1.6444887143144353e-05,1.7022985148077448e-05,1.7285853250662814e-05,3.828748856532939e-07,1.3536671399573404e-07,1.0351536620410373,1.0511384541710915,4.270606767859584,painting-pair-model,scale_dependent_camb
9,0.10256817,0.13796899,200,219,209.65833333333333,1.4201628309175e-05,1.4488453335478636e-05,1.4714143340829595e-05,2.4068600921377443e-07,8.509535462589387e-08,1.02019662957369,1.036088469610452,3.370630836014608,painting-pair-model,scale_dependent_camb
