seed,segment_index,z_lo,z_hi,measured_mean_counts_per_pixel,theoretical_mean_counts_per_pixel,shell_delta_mean,measured_mean_power_rescaling
1386,9,0.10256817,0.13796899,0.5377065199101003,0.541229351707423,-0.00650894447281769,1.0131461001063524
2281,9,0.10256817,0.13796899,0.5302869074906242,0.541229351707423,-0.020217758298360033,1.0416957026822924
3253,9,0.10256817,0.13796899,0.5349506048213756,0.541229351707423,-0.011600898706324414,1.0236118768383156
4253,9,0.10256817,0.13796899,0.537646802589387,0.541229351707423,-0.006619280914337167,1.0133711762356898
5237,9,0.10256817,0.13796899,0.542964381954998,0.541229351707423,0.0032057209057516634,0.9936192568778545
6211,9,0.10256817,0.13796899,0.5366091243359944,0.541229351707423,-0.008536542515392376,1.0172942178506774
7213,9,0.10256817,0.13796899,0.537417977388935,0.541229351707423,-0.007042068776322297,1.0142343190369694
8231,9,0.10256817,0.13796899,0.5390340453906642,0.541229351707423,-0.004056147934019538,1.0081619211686785
