z_lo,z_hi,ell_min,ell_max,ell_effective,old_model_ratio_mean,new_model_ratio_mean,new_model_ratio_sem
0.44933801,0.49256256,20,29,24.83,1.0234275852582717,1.0305816495878417,0.025362021619432126
0.44933801,0.49256256,30,39,34.73571428571429,1.0310510960052754,1.0387847774539316,0.045528459850767145
0.44933801,0.49256256,40,49,44.68333333333333,0.9811962500228513,0.989358530042569,0.004272657120966092
0.44933801,0.49256256,50,59,54.65,0.9889877480376582,0.998148017956567,0.013882384083524803
0.44933801,0.49256256,60,62,61.010840108401084,0.9790393447552748,0.988679219885292,0.015202122933788
0.40720486,0.44933801,20,29,24.83,0.9296309375387208,0.936683633037704,0.02861418946573329
0.40720486,0.44933801,30,39,34.73571428571429,0.9832144306165804,0.9913730754366884,0.019913500918210605
0.40720486,0.44933801,40,49,44.68333333333333,0.9963433119306797,1.0056360425933397,0.044897265929384554
0.40720486,0.44933801,50,57,53.59722222222222,0.9873119597131613,0.997479828911727,0.01416532422456885
0.36610056,0.40720486,20,29,24.83,1.0458603705514802,1.0544914288683533,0.04476084047974124
0.36610056,0.40720486,30,39,34.73571428571429,1.0069307969565857,1.0161852477102897,0.03643030388426232
0.36610056,0.40720486,40,49,44.68333333333333,0.9784179561988349,0.9886515369718727,0.015078218914799072
0.36610056,0.40720486,50,52,51.01294498381877,0.9077576029796308,0.9179841955286097,0.034503183583982064
0.32596586,0.36610056,20,29,24.83,1.0297814604297826,1.0390708001831723,0.022034063924202922
0.32596586,0.36610056,30,39,34.73571428571429,0.9859316013922014,0.9961068182597417,0.03477252566328443
0.32596586,0.36610056,40,47,43.61931818181818,0.9478106188832596,0.9588671981796189,0.0281553168115447
0.28674463,0.32596586,20,29,24.83,1.0430059050368456,1.05342128957151,0.022799158118837037
0.28674463,0.32596586,30,39,34.73571428571429,1.003580838796048,1.0152829004830348,0.013973973219854245
0.28674463,0.32596586,40,42,41.01606425702811,1.024498836795199,1.0376051592402653,0.06137438998266156
0.2483836,0.28674463,20,29,24.83,0.944823802760753,0.9553692850167342,0.03742239871275825
0.2483836,0.28674463,30,37,33.654411764705884,0.9641199506672408,0.9766950019836705,0.031195625012117926
0.21083225,0.2483836,20,29,24.83,0.9408711309876862,0.9527998711670931,0.04863494668988945
0.21083225,0.2483836,30,32,31.021164021164022,0.9399375159271453,0.9534277219498689,0.019667082139796302
