model,pair_0,pair_1,pair_2,pair_3,mean,sem,sigma_from_unity
Scalar linear,0.9961239338483793,0.9920785955043353,0.9884388002507671,0.9913450460585271,0.9919965939155022,0.0015844049764514813,-5.05136388956733
CAMB linear,1.002863041648682,0.9987919404809323,0.9951385093458012,0.9980513410341736,0.9987112081273972,0.0015927921099468626,-0.8091400406583975
CAMB + uncompensated 1h + shot,0.9916779230582952,0.9876597840542571,0.984060040952762,0.9869112056140723,0.9875772384198467,0.0015715360322150354,-7.904853166264211
CAMB + compensated 1h + shot,1.0014440396683522,0.9973789781886401,0.9937306553139033,0.996637859218234,0.9972978830972824,0.0015905433113953399,-1.698864082077153
