segment_index,parameter_file,sheets_file,plc_catalog,mass_map_path,output_npz,z_lo,z_hi,chi_lo_mpc_h,chi_hi_mpc_h,inclusive_upper,catalog_format,redshift_mode,bounds_mode,light_plc,hubble_table,particle_mass_msun_h,jax_precision,pipeline_mode,nfw_paint_mode,nfw_map_derivatives,nfw_concentration_amplitude,nfw_concentration_mass_slope,nfw_concentration_redshift_slope,nfw_concentration_mass_pivot_msun_h,nfw_truncation_width_fraction,nfw_taper_radius_factor
0,examples/pinocchio_geppetto_case/parameter_file,examples/pinocchio_geppetto_case/pinocchio.example.sheets.out,examples/pinocchio_geppetto_case/pinocchio.example.plc.out,examples/pinocchio_geppetto_case/pinocchio.example.massmap.seg000.fits,examples/pinocchio_geppetto_case/painted_nfw.seg000.npz,0.05,0.1,219.00744117,432.54711322,False,auto,true,z,False,,690511127976.0,float64,derivatives,sparse,concentration,5.71,-0.084,-0.47,2000000000000.0,0.05,10.0
1,examples/pinocchio_geppetto_case/parameter_file,examples/pinocchio_geppetto_case/pinocchio.example.sheets.out,examples/pinocchio_geppetto_case/pinocchio.example.plc.out,examples/pinocchio_geppetto_case/pinocchio.example.massmap.seg001.fits,examples/pinocchio_geppetto_case/painted_nfw.seg001.npz,0.0,0.05,0.0,219.00744117,True,auto,true,z,False,,690511127976.0,float64,derivatives,sparse,concentration,5.71,-0.084,-0.47,2000000000000.0,0.05,10.0
