segment_index,z_lo,z_hi,ell_min,ell_max,ell_effective,theory_cl,ensemble_mean_theoretical_normalization_cl,ensemble_mean_measured_normalization_cl,realization_std_cl,ensemble_sem_cl,theoretical_normalization_mean_over_theory,measured_normalization_mean_over_theory,mean_minus_theory_over_sem,theory_model,linear_power_evolution
0,0.44933801,0.49256256,20,39,30.608333333333334,2.4912185103102267e-05,2.458879919548325e-05,2.492045406224715e-05,9.407543174473692e-07,3.3260687864877834e-07,0.9870189665707506,1.0003319242816582,-0.9722766676768073,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,40,59,50.165,2.0595994710368356e-05,2.0352029338165938e-05,2.062694443402193e-05,8.348312434437525e-07,2.951574166927374e-07,0.9881547176704409,1.0015027059430148,-0.8265601960339345,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,60,79,69.975,1.7115647744832128e-05,1.674213462394358e-05,1.6969060087024477e-05,3.081093406949127e-07,1.0893310207614453e-07,0.9781770969783293,0.9914354595284358,-3.428830298318873,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,80,99,89.86944444444444,1.4453957215520918e-05,1.4117325560304327e-05,1.4308741281975448e-05,4.828429467287113e-07,1.7071076093998335e-07,0.9767100697617183,0.989953205798234,-1.9719416243182253,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,100,119,109.80227272727272,1.1717727178907848e-05,1.1376592916729949e-05,1.1531156948659444e-05,2.2903177763375979e-07,8.097496153602049e-08,0.9708873353194339,0.9840779506639962,-4.212836359621493,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,120,139,129.75576923076923,9.502332833066383e-06,9.169537154058661e-06,9.29362841944728e-06,1.192107570808246e-07,4.2147367361116656e-08,0.9649774760730698,0.9780365077412517,-7.896001573629603,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,140,159,149.72166666666666,8.155743359908009e-06,7.87286426345966e-06,7.979162322162765e-06,1.7557330327372796e-07,6.207453667008765e-08,0.9653153509171308,0.9783488726958623,-4.557087521277671,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,160,179,169.6955882352941,7.134918612821053e-06,6.901569355525622e-06,6.995032912801536e-06,9.924196533061823e-08,3.50873333317802e-08,0.9672947555594936,0.9803942122383639,-6.650526989011042,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,180,199,189.675,6.059132996512043e-06,5.840314490319272e-06,5.9193404147741e-06,1.2052114467812586e-07,4.2610659339133884e-08,0.9638861688101689,0.9769286163848169,-5.135299701683031,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,200,219,209.65833333333333,5.162652555738994e-06,4.9757044087376145e-06,5.0430793811997944e-06,7.274190743362257e-08,2.5718148011379322e-08,0.9637883539550688,0.9768388104277368,-7.269113892596868,corrected-two-halo,scale_dependent_camb
