seed,segment_index,z_lo,z_hi,measured_mean_counts_per_pixel,theoretical_mean_counts_per_pixel,shell_delta_mean,measured_mean_power_rescaling
1386,0,0.44933801,0.49256256,6.7394206298855925,6.7927459275819935,-0.007850330082253332,1.0158874975727052
1386,1,0.40720486,0.44933801,5.725356787195008,5.695253821497441,0.005285623194516864,0.9895119802516347
1386,2,0.36610056,0.40720486,4.798259986988635,4.811866616402343,-0.0028277237293583557,1.0056795262861142
1386,3,0.32596586,0.36610056,3.9237322537141366,3.9476309554025053,-0.0060539351216866155,1.0122187149100923
1386,4,0.28674463,0.32596586,3.1621953577020796,3.1405550530151882,0.006890598738625853,0.9863599460829503
1386,5,0.2483836,0.28674463,2.4612227441276637,2.4753202383842647,-0.005695220375123267,1.0114884915622029
1386,6,0.21083225,0.2483836,1.8442960562690998,1.854139957568324,-0.005309146841392831,1.0107034573978904
1386,7,0.17404257,0.21083225,1.3193907635421034,1.3216022817859978,-0.001673361399547435,1.0033551419960718
1386,8,0.13796899,0.17404257,0.8911877387472101,0.8953738556032581,-0.0046752726024456015,1.0094165309006737
1386,9,0.10256817,0.13796899,0.5377065199101003,0.541229351707423,-0.00650894447281769,1.0131461001063524
1386,10,0.06779888,0.10256817,0.2751244739815873,0.27588791080930203,-0.0027671992784142896,1.0055574557846396
1386,11,0.03362193,0.06779888,0.1012516333567014,0.10319484357353705,-0.01883049723749919,1.038752108785383
1386,12,0.0,0.03362193,0.013684071045847254,0.014923665588412084,-0.08306233714640121,1.1893793030289344
2281,0,0.44933801,0.49256256,6.747191710519048,6.7927459275819935,-0.006706303687581183,1.0135487475490423
2281,1,0.40720486,0.44933801,5.72786463356945,5.695253821497441,0.00572596289719618,0.9886456885564534
2281,2,0.36610056,0.40720486,4.788938761108853,4.811866616402343,-0.0047648567845448575,1.0095982604643354
2281,3,0.32596586,0.36610056,3.931725512927386,3.9476309554025053,-0.004029110789434909,1.0081071857342492
2281,4,0.28674463,0.32596586,3.152577946185113,3.1405550530151882,0.0038282701519216644,0.9923872032990682
2281,5,0.2483836,0.28674463,2.465554781725583,2.4753202383842647,-0.003945128596797631,1.00793719613804
2281,6,0.21083225,0.2483836,1.8473688152002434,1.854139957568324,-0.00365190466903087,1.007344014267568
2281,7,0.17404257,0.21083225,1.327733808154517,1.3216022817859978,0.004639464120955505,0.9907852484928533
2281,8,0.13796899,0.17404257,0.8886264598414962,0.8953738556032581,-0.007535841838061996,1.0152437784938046
2281,9,0.10256817,0.13796899,0.5302869074906242,0.541229351707423,-0.020217758298360033,1.0416957026822924
2281,10,0.06779888,0.10256817,0.27795754053122446,0.27588791080930203,0.007501705007121551,0.9851637437620527
2281,11,0.03362193,0.06779888,0.10270592203068114,0.10319484357353705,-0.004737848577748949,1.009543466722636
2281,12,0.0,0.03362193,0.014138367775316176,0.014923665588412084,-0.05262097361024187,1.1141725854643687
3253,0,0.44933801,0.49256256,6.766149025735365,6.7927459275819935,-0.003915486039104077,1.007877206465475
3253,1,0.40720486,0.44933801,5.743868716429546,5.695253821497441,0.008536036576386019,0.9831440570086899
3253,2,0.36610056,0.40720486,4.780189902283969,4.811866616402343,-0.006583040770580806,1.0132972414253367
3253,3,0.32596586,0.36610056,3.92749396787994,3.9476309554025053,-0.0051010309094388084,1.0102806576999102
3253,4,0.28674463,0.32596586,3.14891957084969,3.1405550530151882,0.0026633883798570235,0.9946944288316203
3253,5,0.2483836,0.28674463,2.467546537972967,2.4753202383842647,-0.0031404827103792554,1.006310677697615
3253,6,0.21083225,0.2483836,1.8552397395410296,1.854139957568324,0.0005931493834736568,0.9988147558775023
3253,7,0.17404257,0.21083225,1.3223002360236882,1.3216022817859978,0.0005281121615099416,0.9989446117955674
3253,8,0.13796899,0.17404257,0.8908740171678491,0.8953738556032581,-0.005025653147284759,1.0101275888077141
3253,9,0.10256817,0.13796899,0.5349506048213756,0.541229351707423,-0.011600898706324414,1.0236118768383156
3253,10,0.06779888,0.10256817,0.27427312931982456,0.27588791080930203,-0.005853034606484231,1.011809651218207
3253,11,0.03362193,0.06779888,0.10128267375452904,0.10319484357353705,-0.018529703159493538,1.0381155075453115
3253,12,0.0,0.03362193,0.013374103717432381,0.014923665588412084,-0.10383252437543933,1.2451499163770505
4253,0,0.44933801,0.49256256,6.7298892370847065,6.7927459275819935,-0.009253502363757882,1.0187670931271193
4253,1,0.40720486,0.44933801,5.732750602607932,5.695253821497441,0.006583864790881577,0.9869611799958561
4253,2,0.36610056,0.40720486,4.786764350842982,4.811866616402343,-0.005216741767902322,1.010515698328141
4253,3,0.32596586,0.36610056,3.9368814008975117,3.9476309554025053,-0.0027230393687845966,1.0054684046083202
4253,4,0.28674463,0.32596586,3.1532084745848366,3.1405550530151882,0.0040290398850038045,0.9919903594121795
4253,5,0.2483836,0.28674463,2.4603802511328303,2.4753202383842647,-0.0060355775465991135,1.01218132582644
